arxiv sage fan-out 100 hidden 256,full batch 100,pseudo 2 batches100,pseudo 4 batches100,pseudo 8 batches100,pseudo 16 batches100,pseudo 32 batches100,pseudo 64 batches100
final layer output nodes/pure train time,67269.80082746429,34812.57382989951,18240.311585066964,8887.392206087741,5090.603280147216,2715.630027373716,1856.1019333115753
all layers input nodes//pure train time,118537.49478013575,107435.45920604147,87423.26354234255,58747.17627365718,41900.678854440965,25796.57412731862,19302.686569056008
average train time per epoch,1.3518844842910767,2.6123032569885254,4.985715270042419,10.232585430145264,17.86448383331299,33.487993240356445,48.99569272994995
average number of nodes for computation,160249.0,280654.0,435867.5,601135.5,748534.0,863875.5,945748.5
average first layer num of input nodes,160234.66666666666,280648.6666666667,435780.3333333333,601220.3333333334,748773.3333333334,863979.0,945541.3333333334
average first layer num of output nodes,90941.0,90941.0,90941.0,90941.0,90941.0,90941.0,90941.0
CUDA max memory consumption,8.140000343322754,4.13311767578125,2.0976767539978027,1.079479694366455,0.5489673614501953,0.2870616912841797,0.14816570281982422
redundancy rate I (First Layer Input),1.0000041605818157,1.7514926087264044,2.7196495957994764,3.7521395791987553,4.6729990721902555,5.39198297489921,5.90100311627578
redundancy rate O (First Layer Output),1.0,1.0,1.0,1.0,1.0,1.0,1.0
pure graph partition spend time,0.0,0.007351795832316081,0.0072854359944661455,0.006574312845865886,0.007973591486612955,0.00797573725382487,0.008671283721923828
average load block input feature time per epoch,0.029370903968811035,0.08893299102783203,0.09989213943481445,0.1552283763885498,0.1620643138885498,0.4653604030609131,0.5741653442382812
average block to device time per epoch,0.003979086875915527,0.006157875061035156,0.008058905601501465,0.0089493989944458,0.013319015502929688,0.022801518440246582,0.03553783893585205
average dataloading time per epoch,0.03334999084472656,0.09509086608886719,0.10795104503631592,0.1641777753829956,0.1753833293914795,0.48816192150115967,0.6097031831741333
