arxiv sage fan-out 100 hidden 256,full batch 100,pseudo 2 batches100,pseudo 4 batches100,pseudo 8 batches100,pseudo 16 batches100,pseudo 32 batches100,pseudo 64 batches100
final layer output nodes/pure train time,66710.6759191593,34296.495306324134,17871.192539282118,8832.308114418614,5045.774191980605,2795.6726813242353,1823.3058070582147
all layers input nodes//pure train time,117552.24931955177,105766.41507572561,85652.65370043769,58428.1738889416,41586.34308616698,26572.06325211804,18972.1263710482
average train time per epoch,1.3632150888442993,2.6516120433807373,5.088692307472229,10.29640257358551,18.023200511932373,32.52920150756836,49.87698698043823
average number of nodes for computation,160249.0,280451.5,435860.0,601600.0,749519.0,864368.0,946272.5
average first layer num of input nodes,160234.66666666666,280496.0,435842.0,601598.3333333334,749548.3333333334,864419.0,946345.3333333334
average first layer num of output nodes,90941.0,90941.0,90941.0,90941.0,90941.0,90941.0,90941.0
CUDA max memory consumption,8.140000343322754,4.11133337020874,2.078986644744873,1.0603351593017578,0.5427694320678711,0.2807435989379883,0.1486201286315918
redundancy rate I (First Layer Input),1.0000041605818157,1.750539835490595,2.7200344496174345,3.754498629088292,4.677835748551078,5.394728958897613,5.906020777945588
redundancy rate O (First Layer Output),1.0,1.0,1.0,1.0,1.0,1.0,1.0
pure graph partition spend time,0.0,0.013735055923461914,0.014979362487792969,0.0157013734181722,0.017028172810872395,0.017085949579874676,0.015261252721150717
average load block input feature time per epoch,0.03146052360534668,0.061797499656677246,0.10836470127105713,0.1888408660888672,0.17677605152130127,0.2635413408279419,0.31044983863830566
average block to device time per epoch,0.004464626312255859,0.005074620246887207,0.007266998291015625,0.00964963436126709,0.0140533447265625,0.024170517921447754,0.028792977333068848
average dataloading time per epoch,0.03592514991760254,0.06687211990356445,0.11563169956207275,0.19849050045013428,0.19082939624786377,0.28771185874938965,0.3392428159713745
