"arxiv sage fan-out 10,25 hidden 256","full batch 10,25","pseudo 2 batches10,25","pseudo 4 batches10,25","pseudo 8 batches10,25","pseudo 16 batches10,25","pseudo 32 batches10,25","pseudo 64 batches10,25"
final layer output nodes/pure train time,184899.06602059593,137550.86926734945,95630.58316363185,53252.7846746252,28379.892637346755,14994.520947824276,7515.390170839707
all layers input nodes//pure train time,648258.8783886236,865816.027086509,1004101.669222813,870506.2735878283,675581.7823252797,484902.8666408643,307609.9500066256
average train time per epoch,0.49184131622314453,0.661144495010376,0.9509614706039429,1.7077229022979736,3.2044166326522827,6.064948678016663,12.100635886192322
average number of nodes for computation,318840.5,572429.5,954862.0,1486583.5,2164845.5,2940911.0,3722276.0
average first layer num of input nodes,164246.33333333334,313125.0,572435.3333333334,983613.6666666666,1560563.3333333333,2259830.0,2986888.3333333335
average first layer num of output nodes,154584.33333333334,259334.66666666666,382425.6666666667,502921.6666666667,604334.0,680634.0,734188.3333333334
CUDA max memory consumption,20.033082008361816,13.023118019104004,8.51375675201416,5.35306978225708,3.1732845306396484,1.8070106506347656,0.9963655471801758
redundancy rate I (First Layer Input),1.0000020294761112,1.9064391218050973,3.4852315023399862,5.9886613169676375,9.501378014279393,13.758813000012177,18.185455556502646
redundancy rate O (First Layer Output),1.0000021563249324,1.677629422622436,2.4739019993444775,3.2533875864686297,3.9094214148941675,4.403004191895668,4.749445824492401
pure graph partition spend time,0.0,0.014132420221964518,0.017205238342285156,0.014251708984375,0.015421787897745768,0.014731327692667643,0.016329844792683918
average load block input feature time per epoch,0.023716330528259277,0.14532804489135742,0.2478797435760498,0.34414398670196533,0.38358378410339355,0.5842558145523071,0.5775967836380005
average block to device time per epoch,0.005703091621398926,0.011987686157226562,0.015456557273864746,0.023041605949401855,0.05115532875061035,0.07271063327789307,0.13579440116882324
average dataloading time per epoch,0.029419422149658203,0.15731573104858398,0.26333630084991455,0.3671855926513672,0.4347391128540039,0.6569664478302002,0.7133911848068237
