arxiv sage fan-out 100 hidden 256,full batch 100,pseudo 2 batches100,pseudo 4 batches100,pseudo 8 batches100,pseudo 16 batches100,pseudo 32 batches100,pseudo 64 batches100
final layer output nodes/pure train time,66858.00880451895,33676.128353874534,18516.34330076848,9424.07731636127,5461.4092615162945,3252.889777056828,2035.3212637918305
all layers input nodes//pure train time,117811.86761653551,65268.72193044207,43742.19123410339,27770.411049770195,19445.291794988374,14305.385903301161,10257.781039093887
average train time per epoch,1.3602110147476196,2.7004588842391968,4.911390900611877,9.64985716342926,16.651562929153442,27.956987857818604,44.68139827251434
average number of nodes for computation,160249.0,176255.5,214835.0,267980.5,323794.5,399935.5,458332.0
average first layer num of input nodes,160234.66666666666,177561.66666666666,215464.66666666666,269671.0,323699.0,402473.0,457436.3333333333
average first layer num of output nodes,90941.0,90941.0,90941.0,90941.0,90941.0,90941.0,90941.0
CUDA max memory consumption,8.140000343322754,5.185277938842773,3.5192770957946777,1.9121952056884766,1.1921401023864746,0.5403141975402832,0.29883623123168945
redundancy rate I (First Layer Input),1.0000041605818157,1.108139762264355,1.3446875611085454,1.682982388257174,2.020164259770086,2.5117827677022353,2.8548019355026604
redundancy rate O (First Layer Output),1.0,1.0,1.0,1.0,1.0,1.0,1.0
pure graph partition spend time,0.0,25.860029617945354,23.713689009348553,21.70537813504537,21.11274520556132,20.68726619084676,21.55250072479248
average load block input feature time per epoch,0.04639863967895508,0.0685807466506958,0.06924104690551758,0.11042618751525879,0.13105547428131104,0.19198715686798096,0.3007326126098633
average block to device time per epoch,0.0043801069259643555,0.006566405296325684,0.008620500564575195,0.016602277755737305,0.014990806579589844,0.020641088485717773,0.02900564670562744
average dataloading time per epoch,0.050778746604919434,0.07514715194702148,0.07786154747009277,0.1270284652709961,0.14604628086090088,0.21262824535369873,0.3297382593154907
