"arxiv sage fan-out 10,25 hidden 256","full batch 10,25","pseudo 2 batches10,25","pseudo 4 batches10,25","pseudo 8 batches10,25","pseudo 16 batches10,25","pseudo 32 batches10,25","pseudo 64 batches10,25"
final layer output nodes/pure train time,186399.16341157095,144757.1417862811,101742.14468201563,57312.21546980045,29209.953104692133,14751.76511974012,7440.312694194695
all layers input nodes//pure train time,653518.2421759932,614490.8117134232,553168.4415501242,416915.9440022412,280124.03164010437,182408.0145702194,112872.08228177793
average train time per epoch,0.4878830909729004,0.6282315254211426,0.8938380479812622,1.5867646932601929,3.113356590270996,6.164753794670105,12.222738981246948
average number of nodes for computation,318840.5,386042.5,494443.0,661547.5,872126.0,1124500.5,1379606.0
average first layer num of input nodes,164246.33333333334,215768.0,296605.0,425876.6666666667,590758.3333333334,807046.6666666666,1030420.3333333334
average first layer num of output nodes,154584.33333333334,171756.0,196574.66666666666,236190.33333333334,276569.0,318937.6666666667,351224.0
CUDA max memory consumption,20.033082008361816,12.22640323638916,8.4513840675354,4.965202808380127,3.1939563751220703,1.9229025840759277,1.2138891220092773
redundancy rate I (First Layer Input),1.0000020294761112,1.3136880045784982,1.8058582857421186,2.5929195637438154,3.5967897746875623,4.913645791475388,6.273640352479411
redundancy rate O (First Layer Output),1.0000021563249324,1.1110852352119236,1.2716365643706118,1.5279093135986477,1.7891178905966982,2.0631997274405287,2.272059204057341
pure graph partition spend time,0.0,17.306894938151043,16.159704605738323,15.301730553309122,14.623801151911417,14.51861572265625,14.888585567474365
average load block input feature time per epoch,0.032884955406188965,0.1117483377456665,0.1704120635986328,0.17360985279083252,0.18648910522460938,0.25462591648101807,0.3774062395095825
average block to device time per epoch,0.0068585872650146484,0.009804606437683105,0.011922121047973633,0.01991450786590576,0.029821276664733887,0.059922099113464355,0.08714544773101807
average dataloading time per epoch,0.03974354267120361,0.12155294418334961,0.18233418464660645,0.19352436065673828,0.21631038188934326,0.3145480155944824,0.4645516872406006
