arxiv sage fan-out 100 hidden 256,full batch 100,pseudo 2 batches100,pseudo 4 batches100,pseudo 8 batches100,pseudo 16 batches100,pseudo 32 batches100,pseudo 64 batches100
final layer output nodes/pure train time,67838.85396123644,33914.254780978816,18146.552915520646,9652.5407051685,5637.264714001528,3286.1466383218426,2049.834252597176
all layers input nodes//pure train time,119540.23497030138,65827.57561547209,42975.170218743646,28204.07626999749,19878.950116018,14433.429156979262,10346.376156425862
average train time per epoch,1.3405444622039795,2.681497812271118,5.011475205421448,9.421457290649414,16.13211452960968,27.67405414581299,44.36505043506622
average number of nodes for computation,160249.0,176516.5,215369.0,265723.5,320689.5,399431.5,459017.5
average first layer num of input nodes,160234.66666666666,177735.66666666666,215985.33333333334,267603.3333333333,321629.0,402137.0,458312.3333333333
average first layer num of output nodes,90941.0,90941.0,90941.0,90941.0,90941.0,90941.0,90941.0
CUDA max memory consumption,8.140000343322754,5.166839122772217,3.492007255554199,1.948488712310791,1.1543097496032715,0.551811695098877,0.29166507720947266
redundancy rate I (First Layer Input),1.0000041605818157,1.1092256741182687,1.3479369755066548,1.6700783437555906,2.007245653232148,2.509685834467092,2.8602689400085706
redundancy rate O (First Layer Output),1.0,1.0,1.0,1.0,1.0,1.0,1.0
pure graph partition spend time,0.0,30.357454617818195,28.15672469139099,26.114495833714802,26.199532588322956,25.609673738479614,25.30792744954427
average load block input feature time per epoch,0.030263662338256836,0.06825637817382812,0.0940011739730835,0.12630856037139893,0.14280974864959717,0.1488025188446045,0.3415255546569824
average block to device time per epoch,0.004430413246154785,0.009930253028869629,0.008163809776306152,0.010890841484069824,0.015161514282226562,0.019332528114318848,0.02580440044403076
average dataloading time per epoch,0.03469407558441162,0.07818663120269775,0.10216498374938965,0.13719940185546875,0.15797126293182373,0.16813504695892334,0.3673299551010132
