"arxiv sage fan-out 10,25 hidden 256","full batch 10,25","pseudo 2 batches10,25","pseudo 4 batches10,25","pseudo 8 batches10,25","pseudo 16 batches10,25","pseudo 32 batches10,25","pseudo 64 batches10,25"
final layer output nodes/pure train time,186113.5352101921,144896.20947059125,103543.97287467158,57575.54717737565,29399.00269426873,15219.124473435682,6714.570498275127
all layers input nodes//pure train time,652516.8254493051,614478.0872133153,562515.1769915192,416995.5268746828,276990.90490009455,186776.0486634755,102192.7712154956
average train time per epoch,0.48863184452056885,0.6276285648345947,0.8782838582992554,1.5795073509216309,3.0933362245559692,5.975442290306091,13.543829798698425
average number of nodes for computation,318840.5,385664.0,494048.0,658647.5,856826.0,1116069.5,1384081.5
average first layer num of input nodes,164246.33333333334,215635.0,297924.3333333333,424896.6666666667,583318.6666666666,802741.6666666666,1031016.6666666666
average first layer num of output nodes,154584.33333333334,171636.66666666666,196924.33333333334,235300.33333333334,273808.6666666667,317622.0,351888.0
CUDA max memory consumption,20.033082008361816,12.22640323638916,8.483244895935059,4.973715782165527,3.2902331352233887,1.9229025840759277,1.1631522178649902
redundancy rate I (First Layer Input),1.0000020294761112,1.3128782436101945,1.8138909521896016,2.5869529039773673,3.551493897365334,4.887435107501349,6.277271085242055
redundancy rate O (First Layer Output),1.0000021563249324,1.1103132708861632,1.2738985492245856,1.5221519260294296,1.7712613638323933,2.054688712932774,2.2763546033224653
pure graph partition spend time,0.0,17.81093494097392,16.22055784861247,15.321735382080078,15.168749650319418,14.588082393010458,14.850732247034708
average load block input feature time per epoch,0.033759117126464844,0.10835528373718262,0.17978918552398682,0.16946697235107422,0.15968382358551025,0.264585018157959,0.3416231870651245
average block to device time per epoch,0.006870388984680176,0.008286595344543457,0.01441037654876709,0.018463850021362305,0.04021131992340088,0.04791259765625,0.09732723236083984
average dataloading time per epoch,0.04062950611114502,0.11664187908172607,0.1941995620727539,0.18793082237243652,0.19989514350891113,0.312497615814209,0.43895041942596436
