loss	test_acc
3.7475	0.0493
2.1978	0.1411
2.9543	0.215
1.6546	0.2604
1.7028	0.2979
0.9768	0.3319
2.1431	0.3628
2.0255	0.3917
0.5059	0.4154
0.8107	0.4375
1.0477	0.457
0.3043	0.4734
1.1429	0.488
1.364	0.495
1.0162	0.504
2.6014	0.5134
1.4978	0.5202
0.3436	0.5281
0.7674	0.5354
0.4643	0.5387
0.6782	0.5425
1.2319	0.5465
0.442	0.5481
0.541	0.5517
1.1777	0.5517
0.6463	0.5552
0.7573	0.5553
0.7109	0.5532
1.1327	0.5532
1.2559	0.552
0.6064	0.5517
0.5626	0.553
1.2158	0.5519
1.2765	0.551
0.7822	0.5496
0.4212	0.5489
0.303	0.5477
1.1165	0.5484
0.3892	0.5481
0.3468	0.5498
0.4215	0.5484
0.1484	0.5506
0.5268	0.5516
0.1442	0.5493
0.5603	0.5467
1.0658	0.5455
0.2557	0.5455
0.8461	0.5443
0.4096	0.5468
0.7328	0.5485
0.5841	0.5448
0.2871	0.5389
1.0274	0.5379
0.9651	0.5345
0.7051	0.5351
1.188	0.5318
1.6084	0.5254
0.5614	0.5229
0.0669	0.5252
0.9308	0.5234
0.7782	0.5185
0.1732	0.5203
0.6097	0.5206
0.1953	0.5206
0.1909	0.5207
0.3343	0.5203
0.9112	0.5203
0.3026	0.5151
0.2624	0.5139
0.9093	0.5157
0.3124	0.5168
0.7675	0.5138
0.4981	0.5126
0.4238	0.5073
0.813	0.5089
0.0596	0.5098
0.6059	0.5118
0.982	0.5105
0.4416	0.5049
0.2177	0.5014
1.053	0.5057
0.1906	0.5019
0.4293	0.5007
0.8431	0.4988
0.1069	0.4959
0.469	0.4975
0.166	0.4961
0.5814	0.4954
0.1989	0.489
1.2384	0.4879
0.9784	0.486
0.4416	0.4812
0.5195	0.4783
0.9629	0.4759
0.1124	0.4776
0.6362	0.4797
0.0733	0.4817
0.3484	0.4778
0.5585	0.4747
0.2222	0.4688
0.168	0.4669
0.1286	0.4652
1.3373	0.4594
0.6227	0.4582
0.2675	0.4592
0.0216	0.4554
0.1826	0.4555
0.043	0.4541
0.5538	0.4527
0.7079	0.4517
0.0509	0.4503
0.036	0.4497
0.2512	0.4483
0.2925	0.4462
0.3347	0.442
0.4241	0.4428
0.235	0.4399
0.1295	0.439
0.1004	0.4374
0.1741	0.436
0.1818	0.434
0.8367	0.432
0.2734	0.4312
0.9501	0.432
0.1295	0.4251
0.4089	0.4211
0.8454	0.4193
0.0515	0.4162
0.0878	0.4182
0.4315	0.4164
0.6675	0.4152
0.3435	0.4141
0.5512	0.4125
0.9651	0.4091
0.1018	0.4116
0.3761	0.4099
0.2816	0.4139
0.3038	0.4121
0.9066	0.4103
0.294	0.4065
0.5532	0.3995
0.423	0.3965
0.6195	0.3958
0.0694	0.3964
0.1694	0.4009
0.3997	0.3996
1.132	0.401
0.2012	0.4019
0.0404	0.4006
0.3159	0.3993
0.5029	0.3986
0.1427	0.3963
0.3473	0.3931
0.6585	0.3917
0.1111	0.3939
0.5311	0.3947
0.2253	0.3938
0.931	0.3933
0.883	0.3909
0.2597	0.3928
0.2162	0.391
0.6723	0.3908
0.6711	0.3898
0.2703	0.3902
0.7844	0.3887
0.7083	0.389
0.1774	0.3869
0.0561	0.3876
0.6617	0.39
0.0519	0.3886
1.4281	0.3851
0.1472	0.3815
0.0274	0.384
0.0907	0.3848
0.3252	0.385
0.0478	0.3836
0.2128	0.384
0.3242	0.3852
0.1544	0.389
0.4224	0.3838
0.0767	0.3844
0.2015	0.3828
0.7274	0.3811
0.3307	0.3791
0.0691	0.3738
0.0685	0.377
0.1454	0.3771
0.5515	0.3785
1.0878	0.3794
1.3181	0.3683
0.8455	0.3707
0.4481	0.3752
0.1617	0.3751
0.3807	0.3762
0.5115	0.3754
0.2328	0.3777
0.455	0.3747
0.0807	0.3744
0.7324	0.3757
0.1959	0.373
0.3034	0.3748
0.1422	0.3753
0.2283	0.3747
1.1505	0.3734
0.4878	0.3742
0.6931	0.3709
0.2009	0.366
0.0798	0.3672
0.089	0.3676
0.0984	0.3685
0.1449	0.369
0.0429	0.3696
0.1685	0.3678
0.2406	0.3673
0.286	0.3663
0.1666	0.366
0.9782	0.3648
0.0175	0.3582
0.1997	0.3591
0.7761	0.3592
0.0474	0.3576
0.2479	0.3608
0.4325	0.3612
0.1467	0.3644
0.6861	0.3644
0.2221	0.3632
0.4029	0.365
0.1264	0.3632
0.2287	0.3654
0.0378	0.3652
0.1501	0.3645
0.059	0.3626
0.6503	0.3615
0.6318	0.3624
0.084	0.3626
0.1657	0.3625
0.4285	0.359
0.0645	0.3592
0.0574	0.3574
0.0095	0.3568
0.1377	0.3555
0.3591	0.3549
0.858	0.3492
0.3975	0.3462
0.0854	0.3495
0.0744	0.3501
0.2842	0.3516
0.7794	0.3529
0.3722	0.3508
0.2541	0.3502
0.3036	0.3475
0.2199	0.3491
0.0155	0.3485
0.195	0.3469
0.1798	0.346
0.4687	0.3461
0.3085	0.345
0.0679	0.3405
0.3469	0.3425
0.1517	0.348
0.0386	0.3432
0.3098	0.3439
0.9818	0.3443
0.5974	0.3473
0.1604	0.3518
0.7074	0.3491
0.5151	0.3448
0.3463	0.3459
0.0461	0.3406
0.1387	0.3415
0.6026	0.3391
0.2273	0.3336
0.1027	0.3363
0.0524	0.3382
0.3321	0.3368
0.1828	0.333
0.2356	0.3308
0.1791	0.3303
0.2086	0.3293
0.2825	0.3314
0.8446	0.3303
0.0283	0.33
0.0526	0.3312
0.1698	0.3299
0.0948	0.328
0.51	0.3327
0.3515	0.3412
0.0806	0.3333
0.1323	0.3292
0.0946	0.3295
0.0416	0.3291
0.5024	0.3281
0.7415	0.3286
0.5294	0.3239
0.049	0.3198
0.2262	0.3219
0.2981	0.3225
0.5736	0.3219
0.3213	0.3234
0.064	0.3229
0.4981	0.3257
0.4009	0.3251
0.6309	0.3198
0.3992	0.32
0.437	0.318
0.078	0.3184
0.5427	0.3227
1.4701	0.324
0.0595	0.3229
0.349	0.3247
0.5511	0.3248
0.3317	0.3175
0.154	0.3168
0.0854	0.3191
0.965	0.3191
0.0307	0.3194
0.0953	0.3239
0.4803	0.3261
0.1139	0.3281
0.458	0.3275
1.0958	0.3273
0.2978	0.3268
0.4621	0.3247
0.8506	0.3212
0.4574	0.3206
0.3296	0.3204
0.3105	0.3202
0.5636	0.3221
0.118	0.3193
0.1119	0.316
0.0544	0.3174
0.5988	0.3156
0.1242	0.3161
0.0873	0.3178
0.0923	0.3166
0.2179	0.3159
0.7794	0.3143
0.0298	0.3077
0.8464	0.3134
0.0665	0.3152
0.4681	0.3176
0.3044	0.3141
0.2685	0.3132
