loss	test_acc
9.0142	0.0143
8.5088	0.0152
8.0472	0.0163
7.5864	0.0175
7.192	0.0188
6.8439	0.0204
6.4699	0.022
6.1511	0.0239
5.8265	0.0259
5.5679	0.0282
5.2741	0.0307
5.0571	0.0335
4.8444	0.0367
4.6676	0.0402
4.5364	0.044
4.357	0.0483
4.2384	0.053
4.0775	0.0582
3.9741	0.064
3.8742	0.0704
3.7786	0.0773
3.6799	0.0848
3.5832	0.0926
3.5258	0.1005
3.4266	0.1086
3.3668	0.1166
3.2922	0.1245
3.2152	0.1321
3.1561	0.1395
3.091	0.1468
3.0233	0.1539
2.9755	0.1608
2.9245	0.1674
2.8681	0.1739
2.8163	0.1802
2.7697	0.1863
2.727	0.1923
2.6793	0.1979
2.6402	0.2034
2.6054	0.2087
2.5597	0.2138
2.5226	0.2187
2.4777	0.2235
2.4477	0.228
2.4083	0.2324
2.3794	0.2366
2.3505	0.2408
2.3086	0.2449
2.2748	0.2489
2.2568	0.2528
2.2198	0.2567
2.1885	0.2604
2.1699	0.264
2.1427	0.2677
2.1092	0.2713
2.0854	0.2749
2.0706	0.2783
2.0425	0.2818
2.0137	0.2853
2.0002	0.2887
1.9638	0.2921
1.9543	0.2954
1.933	0.2988
1.908	0.302
1.8902	0.3053
1.8711	0.3086
1.8484	0.3118
1.8348	0.315
1.8069	0.3183
1.7969	0.3215
1.7804	0.3247
1.7529	0.3279
1.7428	0.3311
1.7309	0.3343
1.7049	0.3376
1.6957	0.3408
1.6821	0.344
1.6729	0.3472
1.6441	0.3503
1.6341	0.3535
1.6233	0.3566
1.6015	0.3598
1.5906	0.3629
1.5747	0.366
1.566	0.3692
1.5574	0.3723
1.5423	0.3754
1.5292	0.3784
1.5142	0.3815
1.505	0.3846
1.4858	0.3875
1.4682	0.3905
1.4648	0.3934
1.4458	0.3963
1.4367	0.3992
1.4278	0.4019
1.4242	0.4047
1.405	0.4075
1.3936	0.4102
1.3791	0.4129
1.3754	0.4155
1.3628	0.4181
1.3504	0.4207
1.3483	0.4233
1.3332	0.4258
1.3209	0.4283
1.318	0.4307
1.3054	0.4331
1.2936	0.4354
1.2861	0.4377
1.2724	0.44
1.2648	0.4422
1.2572	0.4444
1.2456	0.4465
1.2374	0.4487
1.2318	0.4507
1.2237	0.4528
1.2155	0.4547
1.2018	0.4567
1.1931	0.4587
1.1868	0.4606
1.185	0.4625
1.1692	0.4644
1.1611	0.4662
1.1513	0.4681
1.1457	0.4699
1.142	0.4716
1.1344	0.4733
1.1245	0.475
1.1207	0.4767
1.1096	0.4783
1.0989	0.4799
1.0966	0.4815
1.0877	0.4831
1.0757	0.4847
1.0775	0.4861
1.0739	0.4877
1.0599	0.4892
1.0548	0.4907
1.0509	0.4922
1.0408	0.4937
1.0375	0.4951
1.0227	0.4965
1.0206	0.4979
1.0194	0.4993
1.0068	0.5007
0.9987	0.502
1.0005	0.5034
0.9917	0.5047
0.9914	0.5061
0.9803	0.5074
0.9745	0.5087
0.9711	0.5101
0.9648	0.5115
0.9639	0.5128
0.9557	0.5141
0.9537	0.5154
0.9445	0.5167
0.933	0.5179
0.9339	0.5191
0.929	0.5203
0.92	0.5215
0.9189	0.5227
0.9106	0.5239
0.9107	0.525
0.8996	0.5262
0.8983	0.5273
0.8933	0.5284
0.8904	0.5294
0.8881	0.5305
0.8764	0.5316
0.8741	0.5326
0.8766	0.5337
0.8713	0.5347
0.865	0.5357
0.8617	0.5366
0.858	0.5376
0.8522	0.5386
0.8499	0.5395
0.8428	0.5404
0.8406	0.5413
0.8361	0.5421
0.8294	0.5429
0.8284	0.5438
0.8314	0.5446
0.8267	0.5454
0.8175	0.5461
0.8143	0.5469
0.811	0.5475
0.814	0.5483
0.8014	0.5489
0.7984	0.5496
0.7949	0.5502
0.7966	0.5509
0.7874	0.5515
0.7913	0.5521
0.784	0.5527
0.7806	0.5534
0.7803	0.5539
0.7758	0.5546
0.7706	0.5552
0.7667	0.5558
0.764	0.5564
0.7606	0.5569
0.7639	0.5575
0.7584	0.5581
0.7542	0.5586
0.7536	0.5591
0.7513	0.5596
0.7487	0.5602
0.7472	0.5607
0.7423	0.5611
0.7388	0.5616
0.7388	0.562
0.7376	0.5624
0.7334	0.5627
0.7293	0.5631
0.729	0.5635
0.7233	0.5639
0.724	0.5642
0.7238	0.5646
0.7166	0.565
0.7108	0.5654
0.7101	0.5658
0.7075	0.5662
0.7044	0.5666
0.708	0.567
0.701	0.5673
0.6992	0.5676
0.6981	0.5679
0.6957	0.5682
0.6985	0.5685
0.6949	0.5688
0.6923	0.5692
0.6891	0.5695
0.6844	0.5697
0.6845	0.57
0.6835	0.5703
0.6841	0.5706
0.6783	0.5709
0.6778	0.5711
0.6709	0.5714
0.6726	0.5716
0.674	0.5718
0.6706	0.5721
0.6668	0.5723
0.6712	0.5726
0.6601	0.5729
0.6653	0.5731
0.6597	0.5734
0.6563	0.5736
0.6603	0.5739
0.6602	0.5741
0.6529	0.5743
0.6529	0.5746
0.6558	0.5748
0.6508	0.575
0.6449	0.5752
0.6466	0.5754
0.6473	0.5756
0.6419	0.5758
0.637	0.576
0.6432	0.5761
0.6411	0.5763
0.637	0.5764
0.6354	0.5766
0.6381	0.5767
0.633	0.5769
0.6322	0.577
0.6315	0.5772
0.6248	0.5773
0.6281	0.5776
0.6256	0.5778
0.6294	0.5779
0.6244	0.5781
0.618	0.5782
0.6207	0.5784
0.6183	0.5785
0.6145	0.5786
0.6177	0.5787
0.6138	0.5788
0.6134	0.5789
0.6149	0.579
0.6119	0.5792
0.6151	0.5792
0.6099	0.5793
