"products sage fan-out 25,35,40 hidden 256","full batch 25,35,40","pseudo 2 batches25,35,40","pseudo 4 batches25,35,40","pseudo 8 batches25,35,40","pseudo 16 batches25,35,40","pseudo 32 batches25,35,40","pseudo 64 batches25,35,40","pseudo 128 batches25,35,40"
final layer output nodes/pure train time,353982.7342879309,283862.02589254035,219071.612132446,122202.40277137663,83103.35580834506,57148.50056028823,38451.50303629042,27305.48476434331
all layers input nodes//pure train time,10398562.234512262,15564697.228564803,22089114.9922385,22326987.477470264,27117504.85896091,32700195.345788382,37602970.98034769,44102501.61990428
average train time per epoch,0.5553123950958252,0.6924878358840942,0.8972910642623901,1.6085690259933472,2.365379810333252,3.4396528005599976,5.11217987537384,7.198956608772278
average number of nodes for computation,5774450.5,10778363.5,19820365.5,35914500.5,64143198.5,112477318.5,192233151.5,317491995.5
average first layer num of input nodes,2269269.0,4498909.0,8892571.333333334,17478819.0,34048108.333333336,65390379.666666664,122765485.0,222465512.0
average first layer num of output nodes,2127227.0,4082154.0,7690664.666666667,14080407.666666666,24719081.0,40909426.666666664,62721865.0,87918274.0
CUDA max memory consumption,14.595449924468994,12.764208316802979,10.814810276031494,9.661880016326904,8.47896432876587,7.094581604003906,5.564269065856934,4.071020603179932
redundancy rate I (First Layer Input),1.0,1.9825366670941171,3.9186942285526016,7.702400640911236,15.003998350717053,28.81561404428768,54.09913280444055,98.03399773230939
redundancy rate O (First Layer Output),1.0,1.9190025324048632,3.6153474296192494,6.619137340145958,11.620330599414167,19.23134045716168,29.48527120048777,41.32999158058825
average load block input feature time per epoch,0.35919809341430664,0.8776021003723145,1.7179408073425293,3.0111483335494995,5.431440234184265,7.901160478591919,17.145344376564026,30.02325987815857
average block to device time per epoch,0.7049527168273926,1.3895912170410156,2.222786545753479,3.535603404045105,5.848912000656128,9.921850681304932,14.359013199806213,27.431410431861877
average dataloading time per epoch,1.0641508102416992,2.26719331741333,3.9407273530960083,6.5467517375946045,11.280352234840393,17.82301115989685,31.50435757637024,57.45467031002045
