"products sage fan-out 25,35,40 hidden 256","full batch 25,35,40","pseudo 2 batches25,35,40","pseudo 4 batches25,35,40","pseudo 8 batches25,35,40","pseudo 16 batches25,35,40","pseudo 32 batches25,35,40","pseudo 64 batches25,35,40","pseudo 128 batches25,35,40"
final layer output nodes/pure train time,357805.7416119601,234114.48726073097,215656.67180751154,131460.16690438802,80700.37925115244,56654.26137954005,38727.14949245093,28532.143120956494
all layers input nodes//pure train time,10510866.524329904,12838441.118809594,21747552.58670605,24021627.800522618,26334049.95825073,32413219.75030329,37865222.22843098,46072973.69629914
average train time per epoch,0.5493791103363037,0.8396362066268921,0.9114997386932373,1.4952894449234009,2.4358125925064087,3.4696595668792725,5.075793147087097,6.889457941055298
average number of nodes for computation,5774450.5,10779620.0,19822888.5,35919286.5,64144810.5,112462838.0,192196035.5,317417814.5
average first layer num of input nodes,2269269.0,4499173.333333333,8892749.333333334,17479680.0,34047876.666666664,65381811.333333336,122745475.0,222417990.66666666
average first layer num of output nodes,2127227.0,4082402.3333333335,7691790.333333333,14082733.0,24719260.666666668,40904287.666666664,62717121.666666664,87890608.66666667
CUDA max memory consumption,14.595449924468994,12.762468814849854,10.806132316589355,9.670064449310303,8.482845306396484,7.101150989532471,5.597653388977051,4.080965042114258
redundancy rate I (First Layer Input),1.0,1.9826531510073653,3.918772667909064,7.702780058247832,15.003896262041506,28.811838232194305,54.09031498689666,98.01305648059646
redundancy rate O (First Layer Output),1.0,1.919119272806021,3.615876600538322,6.620230469056664,11.620415059919166,19.22892463600108,29.483041380476397,41.31698622980372
average load block input feature time per epoch,0.2607172727584839,0.9007457494735718,1.6672803163528442,3.0239356756210327,5.431596636772156,9.412245631217957,16.75841200351715,24.088953614234924
average block to device time per epoch,0.6035990715026855,1.3766549825668335,2.2430962324142456,3.4905307292938232,5.818133354187012,9.325918674468994,14.421696186065674,21.17424762248993
average dataloading time per epoch,0.8643163442611694,2.2774007320404053,3.91037654876709,6.514466404914856,11.249729990959167,18.73816430568695,31.180108189582825,45.26320123672485
